"Week","SKU.A.2","SKU.B.2","SKU.C.1","SKU.C.2","SKU.F.1","SKU.F.2","SKU.H.2","SKU.I.2","SKU.J.2","SKU.K.2","SKU.L.1","SKU.L.2","SKU.M.2","SKU.O.1","SKU.O.2","SKU.Q.2","SKU.S.2","SKU.B.1","SKU.E.2","SKU.G.2","SKU.H.1","SKU.K.1","SKU.N.2","SKU.Q.1","SKU.M.1","SKU.Q.3","SKU.C.3","SKU.F.3","SKU.H.3","SKU.K.3","SKU.O.3","SKU.B.3","SKU.G.3","SKU.L.3","SKU.N.3","SKU.A.3","SKU.E.3","SKU.I.3","SKU.S.3","SKU.U.3","SKU.T.3","SKU.J.3","SKU.B.4","SKU.O.4","SKU.Q.4","SKU.U.4","SKU.W.4","SKU.C.4","SKU.K.4","SKU.L.4","SKU.A.4","SKU.T.4","SKU.D.4","SKU.F.4","SKU.G.4","SKU.H.4","SKU.V.4","SKU.I.4","SKU.N.4","SKU.R.4","SKU.S.4","SKU.J.4","SKU.E.4","SKU.P.4","SKU.A.5","SKU.D.5","SKU.K.5","SKU.C.5","SKU.B.5","SKU.R.5","SKU.T.5","SKU.U.5","SKU.V.5","SKU.Y.5","SKU.X.5","SKU.L.5","SKU.Q.5","SKU.S.5","SKU.W.5","SKU.J.5","SKU.E.5","SKU.F.5","SKU.H.5","SKU.N.5","SKU.I.5","SKU.G.5"
34,56688,86306,13376,190445,11178,101114,103136,27706,11162,70223,NA,88026,28503,303,86306,81162,51114,NA,17197,6848,NA,255,24999,0,478,34555,42834,91241,38058,48727,18152,51990,14697,10350,18598,16162,5892,6688,34872,38391,16735,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,19585,99364,3264,150159,4570,81370,156687,33440,4937,75781,NA,40765,41083,80,79299,82883,58440,NA,15446,1830,NA,717,13854,0,48,28026,65923,45382,28185,77388,23885,67038,6894,24044,28025,24157,2547,5572,23981,36273,14458,4841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,31530,162262,17324,196816,5796,61624,158232,42993,4936,77389,NA,105159,27706,32,123248,67261,135987,NA,8758,3263,NA,350,21018,796,478,87580,112102,87262,62261,107005,91082,95701,11226,31529,17197,27547,18790,5732,58599,50525,16943,3869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,62898,138376,7803,237260,7819,100160,96082,24840,2468,101752,NA,63438,38217,0,79777,40907,96497,NA,12897,1672,NA,334,47452,NA,NA,139808,80096,61465,53981,74840,53344,76193,10987,21498,13694,21496,10986,56050,32644,32531,13391,3694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,36305,170542,637,291879,573,233598,203980,54936,14012,120064,NA,60509,46975,159,180254,104776,96495,NA,48408,4697,NA,0,26433,NA,NA,101592,167197,104298,33917,145095,31370,150637,16959,64968,25446,32165,6655,57643,80334,64140,18805,1608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,10111,83041,1768,199204,239,65923,177070,34554,3184,60510,NA,96736,27547,0,87420,55255,44905,NA,9395,1432,NA,0,14492,NA,NA,50159,63376,65765,52946,80892,57483,53025,10907,35509,44824,20701,828,18153,105255,50334,7548,3678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,7484,66880,3025,110192,0,28822,55096,17724,3663,38217,NA,65605,17993,0,50638,32325,63535,NA,37260,2707,NA,159,5414,NA,NA,60828,100956,53344,17357,73248,80254,96338,10192,28344,10096,33757,2325,14172,27229,24140,13296,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,9077,71019,5478,115604,0,74363,58916,31210,1751,39809,NA,95382,10350,0,42198,32803,26433,NA,17913,1194,NA,32,8599,NA,NA,69744,80095,85509,40764,71178,19108,40922,5335,15606,7803,8599,3502,12038,24681,54617,10908,4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,16004,120702,6735,146496,493,46338,113217,60032,1273,50478,NA,54936,13854,0,96814,33121,27389,NA,6688,1432,NA,111,10669,NA,NA,50636,104060,102867,100796,95541,30891,76912,8599,20381,12818,26910,7006,12580,48886,32707,10748,21337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,12978,104618,7086,109236,0,48806,61146,31529,5494,71019,NA,30733,15447,127,109554,25478,41401,NA,17835,1943,NA,32,23168,NA,NA,44904,75319,61306,21417,102626,11944,79061,8201,25796,12420,8471,14967,13854,37260,60669,11099,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
